id,height,month,date,number,visit,guess
1,163,September,14th,even,No,54
2,164,October,22nd,even,No,54
3,146,August,23rd,odd,No,40
4,148,September,18th,even,No,36
5,145.6,December,18th,even,No,55
6,176,October,10th,even,No,52
7,158,May,3rd,odd,No,20
8,167,February,24th,even,No,70
9,162,November,4th,even,No,48
10,161,September,18th,even,No,50
11,171,February,18th,even,No,55
12,153,July,31st,odd,No,25
13,163,January,14th,even,No,20
14,180,January,10th,even,No,80
15,176,April,18th,even,No,60
16,181,August,2nd,even,No,10
17,160.5,August,3rd,odd,No,25
18,154,May,8th,even,No,60
19,175,November,16th,even,No,8
20,178,November,18th,even,No,40
21,172,March,16th,even,No,50
22,156,July,28th,even,No,8
23,165,February,5th,odd,No,50
24,175,November,1st,odd,No,50
25,177,February,13th,odd,No,23
26,7,December,11th,odd,Yes,18
27,164,November,3rd,odd,No,32
28,180,November,6th,even,No,70
29,162,December,15th,odd,No,9
30,175,October,1st,odd,No,16
31,162,September,12th,even,No,100
32,158,November,9th,odd,No,23
33,160,June,18th,even,No,65
34,153,April,11th,odd,No,30
35,168,July,29th,odd,No,30
36,156,November,23rd,odd,No,23
37,180,October,14th,even,No,56
38,170,April,28th,even,No,50
39,158,September,13th,odd,No,50
40,153,December,29th,odd,No,19
41,149,October,31st,odd,No,25
42,150,November,20th,even,No,70
43,158,July,31st,odd,No,18
44,159,March,28th,even,No,30
45,164,November,17th,odd,No,21
46,161,July,30th,even,Yes,50
47,172,June,13th,odd,No,50
48,165,June,2nd,even,No,60
49,157,February,7th,odd,No,18
50,166,July,23rd,odd,No,20
