product,title,date,country,stars,helpful,review,language,title_sentiment,title_wc,review_sentiment,review_wc
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Ich spreche kein deutsch/Io non parlo italiano - otherwise great,2020-11-23,the United Kingdom,4,0,"Yes, the other package was damaged but it was only after I'd opened the manuals to find they were in German and Italian! Hey ho, Google to the rescue! :DThe unit itself looks in very good condition, and he cables are in their plastic, so I don't expect to have any problems.Very prompt delivery, thank you.",eng,0.15811388300841897,10,0.4401758527668109,57
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Faulty warehouse PS4 not checked by Amazon,2021-01-04,the United Kingdom,1,0,"Purchased the PS4 from Amazon Warehouse. It was advertised as being in brand new condition with a damaged box. On checking the PS4, it was clear there was a fault with the hard disc inside as the machine wouldn't boot up or reset. The power cable was also missing from the box. It is clear that the machine had not been checked by Amazon before putting on sale. No doubt the PS4 had been ordered by someone else and swapped over. Disapointing.",eng,-0.1889822365046136,7,-0.10918464948902595,82
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Like new,2020-12-29,the United Kingdom,1,0,"I bought a ps4 ""like new"" and it didn't have a power cable, the controller didn't work and scratches all over the console, I don't write anything else because they They censor my comment",eng,0.9192388155425117,2,-0.07717436331412898,34
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Great console. Fan is so quiet.,2021-03-15,the United Kingdom,5,0,Very happy with my purchase. Makes the PS4 slim look like a pile of junk.,eng,0.3276650429449553,6,0.49736056575501353,15
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,poor,2020-12-01,the United Kingdom,1,0,No plug so how we surpose to play . No hdmi lead and no controller  we require please.  Pay this amount of money should be together,eng,-0.5,1,-0.05527047472271327,25
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Misleading,2021-11-10,the United Kingdom,1,0,"Bought as very clearly advertised as a new item, on receiving is very clearly not and is refurbished.misleading by the seller",eng,-1,1,0.14126575225655635,22
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Lack of production,2021-09-02,the United Kingdom,2,0,There is no HDMI plug and no controller cable I have to bring another one instead.,eng,-0.37527767497325676,3,-0.0625,16
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Au top,2018-11-16,France,5,231,"Pour ceux qui se posent la question, le chassis G est donc bien le dernier modèle en date, c'est une CUH-7216B pour être précis.",fra,0.7071067811865475,2,0,25
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Leise PS4 Pro (CUH-7216B) mit Samsung QLED 49 Q6FN (2018) / sehr gutes Bild / Spieleempfehlungen,2018-12-25,Germany,5,193,"Lange habe ich mit dem Kauf einer PS4 Pro gezögert, da die Standard Variante in Verbindung mit einem Full HD Plasma TV gute Dienste geleistet hat. Zudem hat mich die Lautstärke bisher stark abgeschreckt, da die PS4 Pro teils einer Turbine gleich kam. Nun gibt es in der neusten Version endlich eine leise Variante, die dafür nur geringfügig heißer wird als zuvor. Nur ein geringes klackern aus der Konsole ist zu hören, was aber im Spielbetrieb kaum auffällt. Also habe ich in Verbindung mit einem QLED zugeschlagen.Das Bild in Verbindung mit ‚Horizon: Zero Dawn‘ ist wirklich brillant (SDR), obwohl die 49er Variante nur ein 50/60 hz Panel besitzt. Aber dank geringem Inputlag läuft alles super flüssig. Kontraste, Schärfe u. Farben sind echt spitze und ließen mich einige Male die Landschaft bewundern. Selbst die Schwarzwerte sind für ein Edge-Led sehr gut, aber natürlich nicht in der Klasse eines OLED. Dafür besteht keinerlei Burn-in-Gefahr. Und auch ohne Natives 4K wirkt das Bild ruhig u. klar. Der Ton für TV-Boxen ist ebenfalls top. Das einzige was bisher irritiert sind gelegentliche Verbindungsabbrüche in den ersten 10-15 Minuten, egal ob SDR oder HDR in 4 K. Nach dem einmaligen Aussetzer von 3-5 Sekunden ist aber Ruhe im Karton. Benutzt wird ein Ultra-HDTV-HDMI Kabel mit Premium Zertifizierung. Welches Glied in der Kette allerdings zickt, PS4, Kabel oder TV, ist bisher unbekannt.Update: Ich habe jetzt das HDMI Kabel gewechselt (KabelDirekt) u. größere Verbindungsabbruch ist weg, allerdings kommt es 1 oder 2 Mal noch zu kleinen Verbindungsabbrüchen von 2-3 Sek mit der Anzeige auf dem TV 'Spielemodus an /aus'.Update: Die Deaktivierung von 'HDCP' brachte eine kleine Verbesserung. Die (zwei) Verbindungsabbrüche in den ersten 10-15 Minuten bleiben zwar bestehen, aber nur noch für 1-2 Sekunden, unabhängig vom verwendeten HDMI Kabel.Trotz HDR Support bevorzuge ich die SDR Variante, da in der HDR Bilddarstellung die Bilddarstellung teils seltsam daherkommt. Beim Bewegen dunkelt das Bild leicht ab u. hellt beim Stillstand auf. Auch manche Bäume flackern teils seltsam. Alles was in der SDR Variante nicht passiert. Ob dies auch in anderen Titel der Fall ist werde ich demnächst testen.Update: Habe jetzt auch 'God of War' getestet. Mit HDR sind das Bild nochmals brillanter aus, ABER auch hier flackern manche Texturen (große Embleme, Grastexturen) wieder wie bei 'Horizon: Zero Dawn', und das unabhängig von 1080p oder 4 K. Das ist echt ein Jammer. Da hilft nur die Fehler ignorieren oder in den guten SDR Modus schalten, wo diese Fehler wieder nicht auftreten.Was ich außerdem noch anmerken wollte, das God of War im 1080p Modus nur geringfügig schlechter aussieht als mit Checkerboard-4K. Der 'Hohe Framerate' Modus mit bis zu 60 fps ist daher die erste Wahl. 'Horizon: Zero Dawn' profitiert allerdings gut von der höheren Auflösung, da Objekte im Hintergrund weniger Kantenflimmern zeigen.Update: HDR Problem gelöst! Da die SDR Settings nicht für HDR übernommen werden, war die Schärfe in HDR noch auf 10 statt 0. Kleine Änderung, große Wirkung. Ohne zusätzliche Schärfe treten die Darstellungsfehler nicht mehr auf. :-)Software sells Hardware, das sollte bisher jeder verstanden habe. Und da bietet Sony einfach spitzenmäßige Exklusivtitel, welche die Fähigkeiten der PS4 Pro mit verschiedenen Einstellungsmöglichkeiten optimal ausreizt. Sei es der Boost-Modus, der Spiele mit schwankender Bildrate optimiert, 60 fps Mode, hohe Auflösung oder ein Qualitätsmodus mit besonderen Effekten in Full HD. Was genau unterstützt wird, hängt natürlich von den Entwicklern ab.Starke Exklusivtitel: God of War, Uncharted 4, Uncharted: The Lost Legacy, Horizon: Zero Dawn, Ratchet & Clank, Persona 5, Days Gone, Shadow of the Colossus, Spiderman, Bloodborne, Detroit: Become Human, Ni No Kuni 2, The Last Guardian, The Last of Us: Remastered, God of War 3: Remastered, Uncharted: The Nathan Drake Collection, Catherine: Full Body, Dragon Quest Builders 1+2, Journey // Download only: Castlevania Requiem, Vane, Heavens VaultSony VR: Astro Bot Rescue Mission, FarPoint VR, Blood & Truth, Beat Saber, Tetris Effect, Observation, Table of Tales: The Crooked CrownVielversprechende Exklusivtitel in 2019/2020: The Last of us Part 2, Final Fantasy 7 Remake, Death Stranding, Ghost of Tsushima, Dreams (Editor)Genialer Multiplayerspaß mit Freunden auf der Coach: Towerfall Ascension (genial!), Badland, Worms: Battleground, BroForce, Overcooked, Trials Fusion, SkyForce reloaded u. aktuell 'Crash Team Racing': Nitro Fuelded'Empfehlenswerte Multiplattformtitel:Adventure / RPG: Red Dead Redemption 2, The Division 2, Assassins Creed: Odyssey, The Witcher 3: GOTY Edition, Monster Hunter World: Iceborne, Sekiro: Shadows Die Twice, Kingdom Hearts 3, Greedfall, Batman: Arkham Knight, South Park: Die rektakuläre Zerreißprobe, Shadow of the Tomb Raider, Rise of the Tomb Raider, Dark Souls: Remastered, A Plague Tale: Innocence, Deponie: Doomsday, Final Fantasy X / X-2 Remaster, Final Fantasy XII: The Zodiac Age, The Elder Scrolls online: Elsweyr, Divinity: Original Sin 2, Skyrim: RemasteredAction / Shooter: Borderlands 3, Doom, Wolfenstein 2, Nier: Automata, Metro Exodus, Control, Rage 2Horror: Resident Evil 2 remastered, The Evil Within 2Strategie: XCOM 2, Age of Wonders: Planetfall, Shadow Tactics: Blades of the Shogun, Mutant Zero: Road to Eden, Valkyria Chronicles 4Rennspiele / Sport: Dirt Rally 2.0, Wreckfest, Crash Team Racing: Nitro Fueled, eFootball: PES 2020, F1 2019Sonstiges: Hellblade: Senua’s Sacrifice, Spyro: Reignated Trilogy, Crash Bandicoot: N. Sane Trilogy, Mortal Kombat 11, Bloodstained: Ritual of the Night, Ace Combat 7: Skies  Unknown, Samurai ShowdownDownload only: 'Song of the deep' u. ABZU', zwei wunderbare Titel. Weitere Empfehlungen: Monster Boy and the Cursed Kingdom, Mark of the Ninja Remastered, Thronebreaker: The Witcher Tales, Wargroove, Unruly Heroes, Ghost of a Tale, Fell Seal: Arbiter’s Mark, Sea of Solitude, Blazing Chrome, Blasphemous, River City Girls, Torchlight II,Vielversprechende Erscheinungen in 2019/2020: Doom Eternal u. Cyberpunk 2077Fazit: Sony begeistert mit spitzenmäßigen Exklusivtiteln, welche sich mit der PS4 Pro noch mehr genießen lassen. Auch die Menüführung gefällt mir weiterhin sehr gut. Ohne einen 4K TV würde ich meine ‚alte‘ PS4 allerdings nicht in Rente schicken. Aber alle Neukäufer sollten den Aufpreis nicht scheuen, besonders wegen der verbesserten Lautstärke in der aktuellen Version. ABER: Der Unterschied von Checkerboard-4K zu 1080p hält sich meist in Grenzen, zumindest auf einem 49 Zoll TV. Ist aber auch etwas spielabhängig. Für Spiele wie 'Horizon: Zero Dawn' mit weiten Landschaften u. vielen Objekten im Hintergrund sorgt die höhere Auflösung jedoch für weniger Kantenflimmern.Für ein optimales VR Erlebnis sollten Neugierige ebenfalls zur PS4 Pro greifen, die genau genommen sogar hier für entwickelt wurde, um mit mehr Leistung eine bessere Immersion zu ermöglichen. Und mit ‚Astro Bot, Rescue Mission‘ hat Sony endlich ein Spiel erschaffen, dass dem vollen Potenzial der virtuellen Realität gerecht wird.Und hier noch mal ein Hinweis zum Samsung Q6FN (2018): Die 55“ Variante verfügt über ein natives 100hz Panel u. einem Auto Motion Plus Modus für Spiele, der 30fps Games wie 60fps Games erscheinen lässt. Zudem sorgen die 100hz für eine verbesserte Bewegungsschärfe. Optimal ist allerdings nur eine direkte Sitzposition vor dem Gerät, ansonsten verblassen die Farben wegen dem VA Panel sehr stark. Das gleiche gilt übrigens für das etwas günstigere Modell ‚Nu 8009‘, das nur geringfügig vom QLED abweicht. Sonstige Optionen wären der Sony XF 8096 (IPS, 50/60hz), der Sony XF 8596 (IPS, 100hz – auch 49“), der Panasonic FXW724 (IPS, 50/60hz), in der High End Klasse der Sony XF 9005 (100hz) mit Full Array Local Dimming oder der LG OLED B8/C8.Bildeinstellungen Q6FN 49“: deaktivierte Ecofunktionen, aktivierter Spielemodus; Hintergrundlicht: 40 (SDR) / 50 (HDR) / Helligkeit: 0 / Kontrast: 40 / Schärfe: 0 (!!) / Farbe: 30 (SDR), 25 (HDR) / Farbton G/R: 0 / Bildeinstellung: Anwendung: Alle Quellen; Digital aufbereiten: aus / Auto Motion Plus: aus / Lokales Dimming: Hoch / Kontrastverbesserung: gering / Farbton: Warm 1 / Gamma: ST 2084 (HDR) – ST 1886 (SDR) – automatische Einstellung; +1 / Nur RGB Modus: aus / Farbraumeinstellungen: Auto – in Nativ gibt es sehr intensive Farben - Geschmacksache",deu,0.2672612419124244,14,-0.10056813733958711,1211
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,PS4 PRO 1TB,2018-11-23,Germany,5,113,Super Teil! Dank Black Friday zum günstigen Preis erhalten. Ist sogar die neue Version CUH-7216B,deu,0.5773502691896258,3,3.9327455899749547e-4,16
