product,title,date,country,stars,helpful,review,language,title_sentiment,title_wc,review_sentiment,review_wc
iRobot ROOMBA980 Robot Vacuum Cleaner,Awesome.,2018-06-27,the United Kingdom,5,11,"Due to a recent health decline, housework is now very painful. This has forced me to sit and watch in horror as the mountain of cat hair has built up. I hesitated for ages before making such a big financial investment, but I’m so glad I did. It’s strangely calming watching it trundle its way around and all I have to do is put the small stuff out of the way. It’s early days yet but zero problems so far. Buy it, you’ll love it!",eng,0.6,1,-0.0744980952141723,89
iRobot ROOMBA980 Robot Vacuum Cleaner,one of the best roomba robots i have ever had,2018-02-01,the United Kingdom,5,13,one of the best roomba robots i have ever had. cleaning pattern is finally in ordinate parallel passes instead of silly random paths as it used to be. great at recognising rooms. completes cleaning rapidly and much better at avoiding obstacles.,eng,0.15811388300841897,10,0.19622264457626395,41
iRobot ROOMBA980 Robot Vacuum Cleaner,Robbie the Robot - Expensive but top of the range.,2019-08-22,the United Kingdom,5,0,Actually performs very well compared to previous robot vacuums we have owned. Very thorough and not too noisy.If your trying to replace a manual vacuum cleaner without the effort then this is most probably your best choice.Ours is called Robbie the Robot and he has quite a character.,eng,0.7499166666666667,9,0.2268268240698848,50
iRobot ROOMBA980 Robot Vacuum Cleaner,Could be a lot better!,2021-01-15,the United Kingdom,3,0,"Its great on flat surfaces, obviously no good in corners but always gets stuck on the corner of rugs, so i have to be around when its on or it never gets the job done. It regularly misses bits too. Dont be fooled ... you still have to get your normal vac out !",eng,0.35777087639996635,5,0.050654236022667117,52
iRobot ROOMBA980 Robot Vacuum Cleaner,My iRobot,2018-12-16,the United Kingdom,5,4,"Excellent product, I have owned an iRobot since they came on the market in 2002 and still have the old one, I would not be without it, now them",eng,0,2,0.1889822365046136,28
iRobot ROOMBA980 Robot Vacuum Cleaner,Might be scratching hard floors,2020-11-25,the United Kingdom,3,0,"I have just got a robot last week. I love using it for the small clear-up tasks, however started noticing some scratches on our hard floors. Will update this review after a couple of weeks once I have a better idea of the product.",eng,-0.11180339887498948,5,0.012911978636915813,45
iRobot ROOMBA980 Robot Vacuum Cleaner,My best friend is Roomba,2019-11-16,the United Kingdom,5,0,I would never imagine my life without Roomba. Ohhhh gosh that’s a life saver,eng,0.5813776741499453,5,0.1650000368700399,15
iRobot ROOMBA980 Robot Vacuum Cleaner,Unhappy,2020-08-27,the United Kingdom,1,0,The product was good initially then stopped charging.I have returned product and have yet not received my refund which is not insubstantial.Please can this be amended.,eng,-0.75,1,0.1214660568032916,28
iRobot ROOMBA980 Robot Vacuum Cleaner,Five Stars,2018-09-05,the United Kingdom,5,4,Perfect!,und,0,2,0.75,1
iRobot ROOMBA980 Robot Vacuum Cleaner,As robots go its a good one.,2019-09-02,the United Kingdom,4,0,"Does a great job, only downside is it needs a mute button to stop the beeping on start and finish. The app works well, set up was straight forward.",eng,0.2834733547569204,7,0.24411042097332997,29
iRobot ROOMBA980 Robot Vacuum Cleaner,... few spots afterwards but it clears the majority away beautifully.,2016-07-23,the United Kingdom,4,14,You will have to clean up a few spots afterwards but it clears the majority away beautifully.,sco,0.3947336741613034,10,0.7367019610478615,17
iRobot ROOMBA980 Robot Vacuum Cleaner,It's won me over!,2018-01-21,the United Kingdom,5,3,Ordered this pretty much against my will but it's turned out to be a good investment. Pleased I bought it when I did as it's since gone up in price by £55!,eng,0.25,4,0.35932458365518544,31
iRobot ROOMBA980 Robot Vacuum Cleaner,Excellent product,2020-02-20,the United Kingdom,5,0,Excellent product and amazing power,eng,0.7071067811865475,2,0.6708203932499369,5
iRobot ROOMBA980 Robot Vacuum Cleaner,Delighted so far,2020-07-06,the United Kingdom,5,0,Great help . Works well on thick carpets.,eng,0.43301270189221935,3,0.4115638329341148,7
iRobot ROOMBA980 Robot Vacuum Cleaner,Highly recommended.,2017-06-02,the United Kingdom,5,0,Can't imagine how I managed without it now. Highly recommended.,eng,0.6363961030678927,2,0.3472726538096761,10
iRobot ROOMBA980 Robot Vacuum Cleaner,Five Stars,2018-03-02,the United Kingdom,5,5,Very handy,plt,0,2,0.6363961030678927,2
iRobot ROOMBA980 Robot Vacuum Cleaner,Five Stars,2016-11-11,the United Kingdom,5,0,awesome product,srp,0,2,0.42426406871192845,2
iRobot ROOMBA980 Robot Vacuum Cleaner,Five Stars,2017-07-28,the United Kingdom,5,2,best decision I made.,nld,0,2,0.25,4
iRobot ROOMBA980 Robot Vacuum Cleaner,Five Stars,2017-06-28,the United Kingdom,5,0,I love it,und,0,2,0.43301270189221935,3
iRobot ROOMBA980 Robot Vacuum Cleaner,Worth every penny. Brilliant!,2017-03-11,the United Kingdom,5,13,"This is an amazing product. I have had previous robot vacuums that being honest, were a gimmick. But this is perfect. I've had it a week and not had to get my big vacuum out at all and my floors are spotless.  I just leave all of my internal doors open downstairs and let the robot do his thing while I'm at work.  Couple of times a week I quickly place him at the top of my stairs and leave all the upstairs doors open and he cleans their successfully as well.  a week after purchase, I've not had one problem.  Worth every penny despite seeming expensive before purchase.",eng,0.7165063509461097,4,0.3309369325606388,109
iRobot ROOMBA980 Robot Vacuum Cleaner,Excellent!,2017-06-27,the United Kingdom,5,12,"I feel compelled to write a review for this because I struggled to research this before buying, as there was so little information available from buyers.However, i took and plunge and love it.  I work full time and have a household of 5, but with its help I'm managing without a cleaner!  It is efficient, easy to use and, so far, hasn't needed any major maintenance.  It is my new best friend and has exceeded my expectations.  Customer service and aftercare has also been impressive. Well done Roomba and thank you!",eng,1,1,0.3988894132786209,91
iRobot ROOMBA980 Robot Vacuum Cleaner,Best Roomba / Vaccum yet,2016-07-05,the United Kingdom,5,15,"Completely awesome, has picked up more on my new carpets than my new Dyson, expensive yes but I don't have to hoover anymore!Used to have a 7 series which I loved but this one has so much better navigation not just random movements. Doesn't miss a spot",eng,0.25,4,0.42449510840935334,47
iRobot ROOMBA980 Robot Vacuum Cleaner,... something to clean the house and the iRobot is perfect. It cleans very well,2016-10-30,the United Kingdom,5,5,We wanted something to clean the house and the iRobot is perfect. It cleans very well. You can program it so it can start when you are away. He cleans very well and will do a great job. You can use the app to controll it. If it runs out of battery before finishing it goes back to his base recharge and resume working. Very pleased with it,eng,0.6122888653915173,14,0.5591706152315912,68
iRobot ROOMBA980 Robot Vacuum Cleaner,A Significant upgrade.,2017-07-30,the United Kingdom,5,7,Significant upgrade to earlier versions.  App works well to set schedule and check area cleaned.,eng,0,3,0.18118922748387697,15
iRobot ROOMBA980 Robot Vacuum Cleaner,Two Stars,2017-06-22,the United Kingdom,2,12,I works fine but too many errors,bci,0,2,-2.3384661945080887,7
