rank,title,year,director,borninfo,birthday,birthplace,deathinfo,death_date,age_died,death_place,birthdate,birthyear,age_at_release,country,death_year,released_before_passing,alive
1,Shôshanku no sora ni,1994,Frank Darabont,"Born: January 28, 1959 in Montbéliard, Doubs, France","January 28, 1959","Montbéliard, Doubs, France",NA,NA,NA,NA,1959-01-28,1959,35,France,NA,NA,TRUE
2,Goddofâzâ,1972,Francis Ford Coppola,"Born: April 7, 1939 in Detroit, Michigan, USA","April 7, 1939","Detroit, Michigan, USA",NA,NA,NA,NA,1939-04-07,1939,33,USA,NA,NA,TRUE
3,The Godfather: Part II,1974,Francis Ford Coppola,"Born: April 7, 1939 in Detroit, Michigan, USA","April 7, 1939","Detroit, Michigan, USA",NA,NA,NA,NA,1939-04-07,1939,35,USA,NA,NA,TRUE
4,Dâku naito,2008,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,38,UK,NA,NA,TRUE
5,12 Angry Men,1957,Sidney Lumet,"Born: June 25, 1924 in Philadelphia, Pennsylvania, USA","June 25, 1924","Philadelphia, Pennsylvania, USA","Died: April 9, 2011 (age 86) in Manhattan, New York City, New York, USA",2011-04-09,86,"Manhattan, New York City, New York, USA",1924-06-25,1924,33,USA,2011,54,FALSE
6,Schindler's List,1993,Steven Spielberg,"Born: December 18, 1946 in Cincinnati, Ohio, USA","December 18, 1946","Cincinnati, Ohio, USA",NA,NA,NA,NA,1946-12-18,1946,47,USA,NA,NA,TRUE
7,Rôdo obu za ringu - Ô no kikan,2003,Peter Jackson,"Born: October 31, 1961 in Pukerua Bay, North Island, New Zealand","October 31, 1961","Pukerua Bay, North Island, New Zealand",NA,NA,NA,NA,1961-10-31,1961,42,New Zealand,NA,NA,TRUE
8,Pulp Fiction,1994,Quentin Tarantino,"Born: March 27, 1963 in Knoxville, Tennessee, USA","March 27, 1963","Knoxville, Tennessee, USA",NA,NA,NA,NA,1963-03-27,1963,31,USA,NA,NA,TRUE
9,Zoku yuuhi no ganman,1966,Sergio Leone,"Born: January 3, 1929 in Rome, Lazio, Italy","January 3, 1929","Rome, Lazio, Italy","Died: April 30, 1989 (age 60) in Rome, Lazio, Italy",1989-04-30,60,"Rome, Lazio, Italy",1929-01-03,1929,37,Italy,1989,23,FALSE
10,Rôdo obu za ringu,2001,Peter Jackson,"Born: October 31, 1961 in Pukerua Bay, North Island, New Zealand","October 31, 1961","Pukerua Bay, North Island, New Zealand",NA,NA,NA,NA,1961-10-31,1961,40,New Zealand,NA,NA,TRUE
11,Fight Club,1999,David Fincher,"Born: August 28, 1962 in Denver, Colorado, USA","August 28, 1962","Denver, Colorado, USA",NA,NA,NA,NA,1962-08-28,1962,37,USA,NA,NA,TRUE
12,Forrest Gump,1994,Robert Zemeckis,"Born: May 14, 1951 in Chicago, Illinois, USA","May 14, 1951","Chicago, Illinois, USA",NA,NA,NA,NA,1951-05-14,1951,43,USA,NA,NA,TRUE
13,Inception,2010,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,40,UK,NA,NA,TRUE
14,ロード・オブ・ザ・リング 二つの塔,2002,Peter Jackson,"Born: October 31, 1961 in Pukerua Bay, North Island, New Zealand","October 31, 1961","Pukerua Bay, North Island, New Zealand",NA,NA,NA,NA,1961-10-31,1961,41,New Zealand,NA,NA,TRUE
15,Sutâ wôzu episoddo 5: Teikoku no gyakushû,1980,Irvin Kershner,"Born: April 29, 1923 in Philadelphia, Pennsylvania, USA","April 29, 1923","Philadelphia, Pennsylvania, USA","Died: November 27, 2010 (age 87) in Los Angeles, California, USA",2010-11-27,87,"Los Angeles, California, USA",1923-04-29,1923,57,USA,2010,30,FALSE
16,Matorikkusu,1999,Lana Wachowski,"Born: June 21, 1965 in Chicago, Illinois, USA","June 21, 1965","Chicago, Illinois, USA",NA,NA,NA,NA,1965-06-21,1965,34,USA,NA,NA,TRUE
17,Guddoferozu,1990,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,48,USA,NA,NA,TRUE
