rank,title,year,budget,opening,us_gross,world_gross
3,The Godfather: Part II,1974,"$13,000,000 (estimated)","$171,417","$47,834,595","$48,035,783"
5,12 Angry Men,1957,"$350,000 (estimated)",NA,$955,NA
6,Schindler's List,1993,"$22,000,000 (estimated)","$656,636","$96,898,818","$322,161,245"
8,Pulp Fiction,1994,"$8,000,000 (estimated)","$9,311,882","$107,928,762","$213,928,762"
11,Fight Club,1999,"$63,000,000 (estimated)","$11,035,485","$37,030,102","$101,209,702"
12,Forrest Gump,1994,"$55,000,000 (estimated)","$24,450,602","$330,455,270","$678,226,133"
13,Inception,2010,"$160,000,000 (estimated)","$62,785,337","$292,576,195","$836,836,967"
27,Interstellar,2014,"$165,000,000 (estimated)","$47,510,360","$188,020,017","$701,729,206"
34,Terminator 2: Judgment Day,1991,"$102,000,000 (estimated)","$31,765,506","$205,881,154","$520,881,154"
35,Back to the Future,1985,"$19,000,000 (estimated)","$11,152,500","$211,406,762","$381,906,762"
36,The Usual Suspects,1995,"$6,000,000 (estimated)","$645,363","$23,341,568","$23,341,568"
37,Psycho,1960,"$806,947 (estimated)","$32,041,845","$32,000,000",NA
38,The Lion King,1994,"$45,000,000 (estimated)","$1,586,753","$422,783,777","$1,063,611,805"
52,Alien,1979,"$11,000,000 (estimated)","$3,527,881","$81,900,459","$106,285,522"
54,Memento,2000,"$9,000,000 (estimated)","$235,488","$25,544,867","$40,047,078"
62,Avengers: Infinity War,2018,"$321,000,000 (estimated)","$257,698,183","$678,815,482","$2,048,359,754"
63,Witness for the Prosecution,1957,"$3,000,000 (estimated)",NA,"$7,693",NA
65,Spider-Man: Into the Spider-Verse,2018,"$90,000,000 (estimated)","$35,363,376","$190,241,310","$375,540,831"
69,Joker,2019,"$55,000,000 (estimated)","$96,202,337","$335,451,311","$1,074,419,384"
71,Coco,2017,"$175,000,000 (estimated)","$50,802,605","$210,460,015","$807,817,888"
74,Once Upon a Time in America,1984,"$30,000,000 (estimated)","$2,412,014","$5,321,508","$5,473,337"
76,Avengers: Endgame,2019,"$356,000,000 (estimated)","$357,115,007","$858,373,000","$2,797,501,328"
79,3 Idiots,2009,"₹550,000,000 (estimated)","$1,645,502","$6,532,874","$60,262,836"
80,Toy Story,1995,"$30,000,000 (estimated)","$29,140,617","$223,225,679","$394,436,586"
81,American Beauty,1999,"$15,000,000 (estimated)","$861,531","$130,096,601","$356,296,601"
82,Amadeus,1984,"$18,000,000 (estimated)","$505,276","$51,973,029","$52,066,791"
83,Braveheart,1995,"$72,000,000 (estimated)","$9,938,276","$75,609,945","$213,216,216"
84,Hamilton,2020,NA,Dolby Atmos,Color,1.85 : 1
85,Inglourious Basterds,2009,"$70,000,000 (estimated)","$38,054,676","$120,540,719","$321,457,747"
86,Good Will Hunting,1997,NA,Dolby Digital,Color,1.85 : 1
96,Requiem for a Dream,2000,"$4,500,000 (estimated)","$64,770","$3,635,482","$7,390,108"
99,Eternal Sunshine of the Spotless Mind,2004,"$20,000,000 (estimated)","$8,175,198","$34,400,301","$74,036,715"
101,Ikiru,1952,"$60,239","$96,302","$2,149",NA
103,The Kid,1921,NA,Silent,Black and White,1.33 : 1
104,Full Metal Jacket,1987,"$30,000,000 (estimated)","$2,217,307","$46,357,676","$46,357,676"
105,Dangal,2016,NA,Dolby Atmos,Color,2.35 : 1
107,Incendies,2010,"$6,800,000 (estimated)","$50,679","$2,071,334","$6,788,659"
108,The Father,2020,"$2,122,771",NA,"$24,260,636",NA
112,Taxi Driver,1976,"$1,300,000 (estimated)","$116,458","$28,262,574","$28,570,902"
114,The Sting,1955,"$134,241","$135,342","$16,064",NA
115,Pather Panchali,1973,"$5,500,000 (estimated)","$156,000,000","$156,000,000",NA
116,Scarface,1983,"$25,000,000 (estimated)","$4,597,536","$45,408,703","$65,884,703"
117,Snatch,2000,"£6,000,000 (estimated)","$27,932","$30,328,156","$83,557,872"
118,1917,2019,"$95,000,000 (estimated)","$576,216","$159,227,644","$384,929,181"
125,Heat,1995,"$60,000,000 (estimated)","$8,445,656","$67,436,818","$187,436,818"
126,L.A. Confidential,1997,"$35,000,000 (estimated)","$5,211,198","$64,616,940","$126,216,940"
128,Ran,1988,"$28,000,000 (estimated)","$601,851","$83,844,093","$141,603,197"
129,Die Hard,1985,"$11,500,000 (estimated)","$3,567","$4,135,750","$4,164,283"
131,Green Book,2018,"$23,000,000 (estimated)","$320,429","$85,080,171","$321,752,656"
132,Jai Bhim,2021,NA,NA,NA,NA
137,Batman Begins,2005,"$150,000,000 (estimated)","$48,745,440","$206,852,432","$373,661,946"
141,The Wolf of Wall Street,2013,"$100,000,000 (estimated)","$18,361,578","$116,900,694","$392,000,694"
142,Judgment at Nuremberg,1961,"$3,000,000 (estimated)",NA,"$12,180",NA
144,There Will Be Blood,2007,"$25,000,000 (estimated)","$190,739","$40,222,514","$76,182,388"
145,Casino,1995,"$52,000,000 (estimated)","$9,946,480","$42,512,375","$116,112,375"
147,Pan's Labyrinth,2006,"$19,000,000 (estimated)","$568,641","$37,634,615","$83,850,267"
148,A Beautiful Mind,2001,"$58,000,000 (estimated)","$367,151","$170,742,341","$316,791,257"
150,Raging Bull,1980,"$18,000,000 (estimated)","$128,590","$23,383,987","$23,402,427"
152,Chinatown,1974,"$6,000,000 (estimated)","$29,225,935","$29,200,000",NA
154,"Lock, Stock and Two Smoking Barrels",1998,"£960,000 (estimated)","$143,321","$3,753,929","$3,753,929"
