rank,title,year,rating,plot,review
3,The Godfather: Part II,1974,9,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba. —Keith Loh <loh@sfu.ca>","Michael is now established as the GODFATHER of the CORLEONE crime family,with great power comes great adversary's and MICHAEL soon learns that his life is in danger,a bold attempt hurls him into a personal vendetta and what lies ahead reveals some home truths,enter the back story of his father VITO CORLEONE as he rose to prominence from an orphaned boy hightailed from SICILY and thrown into a quarantine status at the NEW YORK harbor.VITO played chillingly by DE NIRO is a quiet family man with family values but a small taste of luxury soon gives him a desire to want more for his poverty stricken existence. now we hop back and forth from father to son in a comparable parody and the story line unfolds with devastating effect in both eras,this sequel is more than that it is a stand alone crime family story and one of the best ever made."
5,12 Angry Men,1957,8.9,"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room. —pjk <PETESID@VNET.IBM.COM>","For a while I was not very receptive to watching films that were too old. I always thought it would be difficult to get involved in the context, I couldn't be more wrong! 12 angry men, is a great example of how a simple film can do magic with good actors, and what great actors they are!"
6,Schindler's List,1993,8.9,"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us. —Harald Mayr <marvin@bike.augusta.de>","I have only ever seen this film once, I only ever want to see this film once and I will only ever need to see this film once. It is etched on my mind. I, like many others, left in silence.  I could not imagine inventing a critical analysis of this film, picking small points of detail or of style, or even scoring points off the Director. It stands alone as a monumental piece of cinema, a magnificent accomplishment."
8,Pulp Fiction,1994,8.8,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents. —Soumitra","Pulp Fiction is the most original, rule breaking film I have ever seen. Instead of following the widely used 3 act structure, Pulp Fiction makes up its own and while the 3 stories may seem completely disconnected at first, once you look closely you can find the underlying themes that they all share. Anyone who says that the movie lacks focus or has no meaning hasn't analysed enough. I highly recommend this film since it is number one on my list of my favourite movies of all time."
11,Fight Club,1999,8.8,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power. —Rhiannon",Because you'll probably be confused the first time around. It's not a coincidence it stars some of the greatest actors of our time.
12,Forrest Gump,1994,8.7,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone. —aliw135","He may have been good in Philadelphia but be is excellent in Forrest Gump.Tom Hanks delivers another great performance in his career by portraying the lovable,king yet not so intelligent character Forrest Gump.It is also Tom Hanks' second straight win for the Best Actor Oscar which he becomes the second man to do said accomplishment after Spencer Tracy.Whilst not as dramatic as Philadelphia,Tom Hanks' performance is just as great in this movie and this movie could possibly be the film of Tom Hanks' career as he used to be a comedy guy who turned to drama in a way which would paved for future stars such as Jim Carrey(The Truman Show),Reese Witherspoon(Walk the Line) and Will Ferrell(Stranger Than Fiction) to name a few.Also staring in this great movie classic are Robin Wright-Penn who plays Jenny,Gary Sinise who was nominated for an Academy Award for his portrayal of Lieutenant Dan Taylor,Mykelti Williamson as Forrest's best friend and shrimper Benjamin Buford""Bubba"" Blue and Sally Field as Mrs.Gump.This film was nominated for a total of thirteen Academy Awards but won six of them which include Best Film Editing,Best Visual Effects,Best Adapted Screenplay,Best Picture,Best Director-Robert Zemeckis and Best Actor-Tom Hanks.This is one masterpiece of a movie that will not be forgotten about in a long time.Bravo!"
13,Inception,2010,8.7,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming. —Warner Bros. Pictures","When you wake up from a good dream, you feel the reality is harsh. When you wake up after a bad dream, you will be sentimentally attached to the beauty of reality. But as long as life is good, reality and dreams don't matter."
27,Interstellar,2014,8.5,"Earth's future has been riddled by disasters, famines, and droughts. There is only one way to ensure mankind's survival: Interstellar travel. A newly discovered wormhole in the far reaches of our solar system allows a team of astronauts to go where no man has gone before, a planet that may have the right environment to sustain human life. —ahmetkozan","Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us.Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earth—crops and humans.Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one of the few survivors who still appreciates the need for engineering. He feels like a man lost in time, until he stumbles into the headquarters of NASA (which had been operating in secret due to public disapproval). Here he meets others who realize that a return to our old ways is unsustainable and will ultimately lead to our demise. We need technology to save us. As Michael Caine, playing the brilliant (duh!) Professor Brand, eloquently tells Cooper, ""we were never meant to save the world. We were meant to leave it."" For a movie that won an Oscar for Best Visual Effects (and deservedly so) the sound stole the show. Hans Zimmer (Dark Knight Trilogy) unleashed a performance that was, quite appropriately, out of this world. Never have I seen a movie elevated so much by its score. The sound literally took my breath away. Forgive me for the next paragraph. I will gush irresponsibly about the magic that is this movie's sound. Skip it if you please. You have your warning.The music fueled every important scene. In every meaningful moment Zimmer's harmonies captivated watchers' attention in the way of a coach commanding a locker room with a pregame speech. The music elucidated those emotional scenes, particularly ones featuring Cooper and his daughter, in a way that no words or visual ques possibly could. I sat frozen, jaw agape, with tears pouring down my cheeks as the music completely overwhelmed my emotions. The sound penetrated my soul and reverberated through my body, flowing to my appendages, supplying me with life like a heartbeat pumping blood through my veins. The music was truly the life force of movie.Yes, we all witnessed a visual triumph, a daring creative wonder the likes of which we haven't encountered since Inception. Yes, nearly every actor's performance proved worthy of commendation. McConaughey is on fire. Chastain is blossoming into a star. At this point Michael Cain exudes such knowledge and wisdom by merely appearing on screen that if he were cast as Albert Einstein, people would wonder if the role were beneath him. All this considered, and the sound still towered over everything.I walked out of the theater believing that I had experienced something unique, something truly special. Interstellar inspires, it awes, and above all it entertains. I cannot ask for more than that."
34,Terminator 2: Judgment Day,1991,8.5,"Over 10 years have passed since the first machine called The Terminator tried to kill Sarah Connor and her unborn son, John. The man who will become the future leader of the human resistance against the Machines is now a healthy young boy. However, another Terminator, called the T-1000, is sent back through time by the supercomputer Skynet. This new Terminator is more advanced and more powerful than its predecessor and its mission is to kill John Connor when he's still a child. However, Sarah and John do not have to face the threat of the T-1000 alone. Another Terminator (identical to the same model that tried and failed to kill Sarah Connor in 1984) is also sent back through time to protect them. Now, the battle for tomorrow has begun. —Eric ggg","Disclaimer: If you are a viewer that mainly prefers arthouse-type movies, then you might as well ignore this review. In addition, if you're not able to take a few sci-fi leaps of faith, ignore this review, as well. We'll both be better off.This is the finest action movie of all time. And, yet, believe it or not, it's not the action in the film itself that makes this be the case. This is especially odd in a movie with a $100 million budget (in 1991!), with multiple huge explosions, with thousands of bullets fired, and scores of stuntmen used.This movie is what it is, a perfect 10, because it takes the vision of one of the most imaginative directors on Earth, and realizes them almost perfectly with all the tools that fit the task -- actors, stunts, puppetry, models, and CG. Without the vision, this film would be nothing. Without the tools, this film would be nothing.But, a little bit of background is due. This is the sequel to the Terminator (1984), whose premise was that a near-indestructible cyborg is sent by evil self-aware machines from the near future to destroy the mother-to-be of the military commander who would lead the humans to a victory over the machines. Oh, and this terminator machine would come from a time of war between men and machines which followed a nuclear exchange that left billions of people dead, first. In Terminator 2, John Connor (the commander-to-be) is about 12 years old, and his mother (Sarah) is feverishly trying to prepare him for his fate, even as she tries to stop the factors that will lead to the nuclear war and the entire terrible future that made all this necessary. The machines now send a superior, more intelligent, shape-shifting cyborg (T1000) into the past, to kill John himself. Meanwhile, future-John reprograms the ex-evil Terminator (T101) from the original film, and sends him into the past to PROTECT John against the T1000.That's your basic plot. It does involve travel into the past, so it immediately presents a time-travel paradox which can't really be resolved. In order to even try watching this movie, you MUST LOOK PAST THE PARADOX. If you don't, this movie has zero credibility, and is not worth your time.What happens after the two terminators appear in the past is a wild ride rife with macho action, dark reflection on the nature of man, and a few rays of hope, here and there. Schwarzenegger (the good terminator) and Patrick (the bad one) make for such effective foes that the times they meet on-screen are completely breathtaking (and odd, given that you repeatedly see the relatively slim T1000 through Arnie through a wall or two). Hamilton, as Sarah Connor, is a wonderful character -- tough beyond all belief and completely focussed on preventing the nuclear war and ensuring John's safety, yet clearly a little out of her mind with paranoia and anger; amazingly, you see actual character development (specifically, when John and T101 arrive at Dyson's house to prevent her from doing what she wants to) in her otherwise 2-dimensional character. And Furlong, as John, is not bad himself as the extroverted kid who's confused by the fact that everyone except his mom tell him his entire upbringing was based on a lie. The bit players all do their jobs well, particularly Earl Boen who plays the semi-sadistic mental hospital warden that stands between Sarah Connor and her son (until the T1000 makes a chilling entrance).With these players set in motion, it's up to the script to deliver the real substance of the movie. (One often sees great performances in mediocre films... here the story transcends the performances -- an impressive feat.) The script delivers. The film is absolutely filled with great, classic moments (I counted TEN all-star ones during my last viewing), and they're evenly spaced through the movie. I mean, who doesn't cheer (at least inside) when Arnold steps out of the biker bar, fully clad in leather when ""Bad to the Bone"" music starts to blast? The guy absolutely bleeds coolness. And the T1000 absolutely bleeds evil. But, with so many great moments, you'd think the pacing would be a little uneven... not really! The film shifts from place to place with an ease that makes perfect sense, never giving you the time to start being a little nitpicking jerk, always driving forward, but always doing so thoughtfully and with attention to detail.Of course, this wouldn't be an action movie without some action. There's plenty of it, and it's perfectly done. The CG effects for the shape-shifting T1000 were cutting-edge for the time, and still look great (whoever said differently below is simply incorrect) -- even if they're completely commonplace today. The stunts are completely insane in scale (at one point, a helicopter flies under a highway overpass; at another, a motorcycle jumps from the 2nd floor of a building into a flying chopper). (Probably, only the Matrix and the Lord of the Rings movies compare in terms of the level of stunt insanity.) And the gunplay is delivered in perfect Cameron-Schwarzenegger style (as opposed to the slo-mo John Woo-style) -- you'll see lots of heavy automatic and explosive weapons, and you'll see them used well. The film is violent, and somewhat bloody, but ALL of the mean-spirited violence is dealt by the evil characters, not the ones you root for (Quentin Tarantino fans: sorry). And then the truly amazing scenes that bypass acting are shocking and memorable -- just wait until the nuclear detonation sequence.I'm not sure what else you would want in a movie. Probably moral content, and the movie has a very clear pro-human, anti-war message. The message is a bit stale, and the delivery IS, at times, a little heavy-handed (and some moments with the T101 seem just a bit unrealistic, towards the end), but the movie has heart, and that you cannot deny. Plus, it simply rocks. 10/10"
35,Back to the Future,1985,8.5,"Marty McFly, a typical American teenager of the Eighties, is accidentally sent back to 1955 in a plutonium-powered DeLorean ""time machine"" invented by a slightly mad scientist. During his often hysterical, always amazing trip back in time, Marty must make certain his teenage parents-to-be meet and fall in love - so he can get back to the future. —Robert Lynch <docrlynch@yahoo.com>","Zemeckis's 'Back To The Future' trilogy has been a childhood favourite for a long time. Having revisited it today, brought me to a nostalgic state. The 80's saw a lot of excellent original fun 'young' films like 'Back To The Future' (of course), 'Better Off Dead', 'Heathers', 'The Breakfast Club' etc. What really made these films immensely enjoyable then, and classics today, is that they really reflected what it was like being a young person in the 80s. The movies themselves were well written, well executed, well acted and they cut straight to the point.Back to 'Back To The Future'. This one is sheer fun, even today. There's an incredible energy about it but it still manages to stay an 'innocent' film. The music is very effective. It's slick and follows a steady pace. The special effects are decent. Though people might pick on the plausibility of the time travelling, I think this is really a very minor flaw because it is overall a well written movie and the point was to entertain. Yet, this is not to say that it's brainless entertainment. I think it cleverly brings forth some interesting themes and I liked how they funnily used some ideas of Oedipus Rex's story.The acting is superb overall. Christopher Lloyd as the over-the-top mad scientist is a laugh riot. Michael J. Fox totally owns Marty McFly with his natural charisma, raw energy and brilliant dialogue delivery. Lea Thompson is cute and vivacious and Crispin Glover is good.'Back To The Future' is one of the most enjoyable time-travelling classics. It's over 23 years old and it still hasn't gotten old. Sadly, they don't make it like this these days but then again we always can revisit them. That's why they're classics."
